message_shortname,image,direct_to_nurse,english,hindi,hindi_male,hindi_female
1_3_1_ebfdef,,,"Exclusive breastfeeding means that the child can only be fed breast milk. No additional food, water, or other fluids should be given to the child starting at birth. (The child can take medicine and vitamins, if needed on medical advice). It can take time to learn how to breastfeed, but don't worry-- you can do it! ⭐","केवल स्तनपान का मतलब है कि बच्चे को केवल स्तन का दूध पिलाया जा सकता है। जन्म के बाद से बच्चे को कोई अतिरिक्त भोजन, पानी या अन्य तरल पदार्थ नहीं दिए जाने चाहिए। (बच्चे को दवा और विटामिन ले सकते हैं, यदि चिकित्सा सलाह पर आवश्यक हो)। स्तनपान करने का तरीका सीखने में समय लग सकता है, लेकिन चिंता न करें- आप इसे कर सकते हैं! ⭐",,
1_3_2_imp,,,"Breastfeeding is really important for [child name]'s growth and development, so it's important to keep doing it in the right way, even though it might be difficult. A mother’s breastmilk has all the necessary nutrients required for the well-being of her child. As soon as [child name] turns six months old, you can start feeding them complementary foods in addition to breastmilk. But remember-- up untill the first 6 months from birth, breastmilk is all they should be fed. Anything else, even water might affect the health of your child in an unwanted manner. ! 😊🤱🏽","स्तनपान वास्तव में [child name] की वृद्धि और विकास के लिए महत्वपूर्ण है, इसलिए इसे सही तरीके से करते रहना महत्वपूर्ण है, भले ही यह मुश्किल हो। एक माँ के स्तन में उसके बच्चे की भलाई के लिए आवश्यक सभी  पोषक तत्व होते हैं। जैसे ही [child name] छह महीने का हो जाता है, आप उन्हें स्तनपान  के अलावा ऊपरी आहार खिलाना शुरू कर सकती हैं। लेकिन याद रखें - जन्म के पहले 6 महीने तक, स्तनपान ही किया जाना चाहिए। कुछ भी, पानी भी आपके बच्चे के स्वास्थ्य को अवांछित तरीके से प्रभावित कर सकता है। ! 😊🤱🏽",,
1_3_3_pos,,,"You should know that the position of the mother is very important. There are different methods of breastfeeding such as the underarm, using the opposite arm and mother in the lying down position. It is really important for the mother to be comfortable while breastfeeding. How about you try these tips? I can check in with you tomorrow to see how it went and answer any questions you might have.","आपकी जानकारी के लिए बता दूँ की  माँ की शारीरिक मुद्रा बहुत ही महत्वपूर्ण होती है।  स्तनपान के कई तरीके हैं - जैसे बाजू के नीचे रखकर,  हाथ में शिशु को रखकर, दूसरे हाथ से स्तनपान करवाना और माँ कर खुद लेटकर स्तनपान कराना। स्तनपान कराते समय माँ का आरामदायक मुद्रा में होना उसके लिए वास्तव में बहुत ही महत्वपूर्ण है। आज रात आप किस तरह इन टिप्सों को उपयोग में लाएंगे? यह कितना सफल रहा इसके लिए मैं कल आपके और बात चीत कर सकती हूँ और यदि आपके कोई प्रश्न हुए तो उनका जवाब भी दूँगी।",,
1_3_4_pic,bf_p1.png,,Underarm position! ,बाजू के नीचे रखकर स्थिति!,,
1_3_4_pic,bf_p2.png,,Using the opposite arm position! ,विपरीत हाथ की स्थिति का उपयोग करना!,,
1_3_4_pic,bf_p3.png,,Mother in lying down position!,लेटने की स्थिति में माँ!,,
1_3_5_att,bf_attachment.png,,"--> your baby takes the whole nipple and a large amount of the areola into his mouth, more towards his chin than his nose
--> your baby’s chin is pressed into your breast and his nose is clear or just touching your breast
--> your baby’s lips are turned out over your breast (not sucked in)
Signs of good attachment include deep and regular sucking, no breast pain or nipple damage, and well-drained breasts.","-> आपका बच्चा पूरे निप्पल और बड़ी मात्रा में इसोला/स्तन के काले घेरे, को अपने मुंह में लेता है, जो उसकी नाक से ज्यादा ठुड्डी की तरफ होता है
-> आपके बच्चे की ठुड्डी/ठोड़ी आपके स्तन से एकदम लगी हुई है उसकी नाक स्वतंत्र (स्तन ना छू रही हो) है या सिर्फ आपके स्तन को छूती है
-> आपके बच्चे के होंठ आपके स्तन से को पूरी तरह अंदर ले रहे हो (चूसा नहीं गया है)
अच्छे तरह से स्तन का संपर्क होने के संकेतों में गहरे और नियमित रूप से चूसना, कोई स्तन दर्द या निप्पल को नुकसान नहीं होता है, और अच्छी तरह से सूखा हुआ स्तन जिसमे से पूरा दूध पी लिए गया हो शामिल हैं।",,
1_3_6_fre,,,"Breastfeeding throughout the day and at night-- whenever [child name] is hungry-- helps to ensure that they get the nutrients they need 🤱🏽. The baby’s stomach is small. Therefore the baby should be fed frequently on demand—at least 8 — 12 times in 24 hours, day and night—in order to be adequately nourished. As soon as [child name] turns six months old, you can start feeding them complementary foods in addition to breastmilk. But remember-- up until the first 6 months from birth, breastmilk is all they need! 😊🤱🏽","जब भी [child name] को भूक लगे - दिन में या रात में, उसको स्तनपान कराने से आप ये सुनिश्चित करेंगे की उसे  वे पोषक तत्व मिलते हैं जिनकी उन्हें आवश्यकता होती है। बच्चे का पेट छोटा है। इसलिए बच्चे को जितनी बार वो मांगे उतनी बार खिलाया जाना चाहिए - 24 घंटो में दिन और रात जोड़ कर उन्हें कम से कम 8 - 12 बार दूध पिलाना चाहिए - ये इसलिए ताकि वो पर्याप्त रूप से पोषित हो सके। जैसे ही [बच्चे का नाम] छह महीने का हो जाता है, आप उन्हें स्तनपान के अलावा ऊपरी आहार खिलाना शुरू कर सकती हैं। लेकिन याद रखें - जन्म से लेकर पहले 6 महीनों तक, स्तनपान से ही उनकी सारी आवश्य्कताएँ पूरी हो जाएंगी! 😊 🤱🏽",,"जब भी [child name] को भूक लगे - दिन में या रात में, उसको स्तनपान कराने से आप ये सुनिश्चित करेंगे की उन्हें वे पोषक तत्व मिलते हैं जिनकी उन्हें आवश्यकता होती है। बच्चे का पेट छोटा है। इसलिए बच्चे को जितनी बार वो मांगे उतनी बार खिलाया जाना चाहिए - 24 घंटो में दिन और रात जोड़ कर उन्हें कम से कम 8 - 12 बार दूध पिलाना चाहिए - ये इसलिए ताकि वो पर्याप्त रूप से पोषित हो सके। जैसे ही [child name] छह महीने की  हो जाती है, आप उन्हें स्तनपान के अलावा ऊपरी आहार खिलाना शुरू कर सकती हैं। लेकिन याद रखें - जन्म से लेकर पहले 6 महीनों तक, स्तनपान से ही उनकी सारी आवश्य्कताएँ पूरी हो जाएंगी 😊 🤱🏽"
1_3_7_qa_suckslowly,,,Does the infant suck slowly? Type 1 for yes and 2 for no.,"क्या शिशु धीरे-धीरे चूसता है?
1) हाँ
2) नहीं ",,
1_3_7_qa_suckslowly_yes,,,That is great! Sucking slowly means that the milk is flowing quickly which is a good thing. If the baby is sucking very fast it means that the milk flow has either reduced and if it continues it means that it is not happening properly. It might be a good idea to check with your AWW [AWW name] once!,यह बहुत बढ़िया बात है! धीरे-धीरे चूसने का मतलब है कि दूध जल्दी बह रहा है जो अच्छी बात है। यदि बच्चा बहुत तेजी से चूस रहा है तो इसका मतलब है कि दूध का प्रवाह या तो कम हो गया है और यदि यह जारी है तो इसका मतलब है कि दूध पीना ठीक से नहीं हो रहा है। एक बार अपने आंगनवाड़ी कार्यकर्ता  [AWW नाम] के साथ जांचना एक अच्छा विचार हो सकता है!,,
1_3_7_qa_suckslowly_no,,,Pay attention! If the baby is sucking very fast it means that the milk flow has either reduced and if it continues it means that it is not happening properly. It might be a good idea to check with your AWW [AWW name] once!,ध्यान दें! यदि बच्चा बहुत तेजी से चूस रहा है तो इसका मतलब है कि दूध का प्रवाह या तो कम हो गया है और यदि यह जारी है तो इसका मतलब है कि दूध पीना ठीक से नहीं हो रहा है। एक बार अपने आंगनवाड़ी कार्यकर्ता [AWW नाम] के साथ जांचना एक अच्छा विचार हो सकता है!,,
1_3_7_qa_infant_tiresout,,,Does the infant tires out in between and is unable to continue for a long time? Type 1 for yes and 2 for no.,क्या शिशु बीच-बीच में थक जाता है और लंबे समय तक दूध पीना जारी नहीं रह पाता है? 1) हाँ 2) नहीं,,
1_3_7_infant_tiresout_yes,,,"Be careful! If this happens, it might mean that [child name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!","सावधान रहे! यदि ऐसा होता है, तो इसका मतलब हो सकता है कि [child name] बीमार है या बीमार होने वाला है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!",,"सावधान रहे! यदि ऐसा होता है, तो इसका मतलब हो सकता है कि [child name] बीमार है या बीमार होने   वाली है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!"
1_3_7_infant_tiresout_no,,," Good to know that’s not the case! That should not happen and if does,  it might mean that [child name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!
","यह जानकर अच्छा लगा कि ऐसा नहीं हो रहा है! ऐसा नहीं होना चाहिए और अगर ऐसा होता है, तो इसका मतलब हो सकता है कि [child name] बीमार है या बीमार होने वाला है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!",,
1_3_7_swallow_pause,,,"Does the infant suckles slowly, followed by swallowing and then pausing? Type 1) for yes and 2) for no","क्या शिशु धीरे-धीरे चूसता है, उसके बाद निगलता है और फिर रुकता है? 1) हाँ 2) नहीं",,
1_3_7_swallow_pause_yes,,,"Great! The baby can feed only small amounts at a time, because her/his stomach is small. Therefore it is a good practice if they suckle slowly, swallow the same and resume feeding after some pause.","बहुत अच्छा! बच्चा एक बार में केवल छोटी मात्रा में भोजन कर सकता है, क्योंकि उसका पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। ",,
1_3_7_swallow_pause_no,,,"You should pay attention to this! The baby can feed only small amounts at a time, because the baby's stomach is small. Therefore it is a good practice if they suckle slowly, swallow the same and resume feeding after some pause. If the same is not happening right now then [child name] might vomit out the milk she/he drinks and there might be other problems as well.","आपको इस पर ध्यान देना चाहिए! बच्चे को एक बार में केवल थोड़ी मात्रा ही खिला सकते हैं, क्योंकि बच्चे का पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। यदि अभी ऐसा नहीं हो रहा है, तो [child name] ने जो दूध पिया है वो उसे उल्टी कर सकता है/ सकती है और इससे अन्य समस्याएं भी हो सकती हैं।","आपको इस पर ध्यान देना चाहिए! बच्चे को एक बार में केवल थोड़ी मात्रा ही खिला सकते हैं, क्योंकि बच्चे का पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। यदि अभी ऐसा नहीं हो रहा है, तो [child name] ने जो दूध पिया है वो उसे उल्टी कर सकता है और इससे अन्य समस्याएं भी हो सकती हैं।","आपको इस पर ध्यान देना चाहिए! बच्चे को एक बार में केवल थोड़ी मात्रा ही खिला सकते हैं, क्योंकि बच्चे का पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। यदि अभी ऐसा नहीं हो रहा है, तो [child name] ने जो दूध पिया है वो उसे उल्टी कर सकता है और इससे अन्य समस्याएं भी हो सकती हैं।"
1_3_8_vom,,,"Does [child name] sometimes vomit out the milk after they breastfeed? It is important that after every time you breastfeed your child, you take them and make them burp by softy patting on their back. Child’s body is small and therefore there is little gap between the stomach and the food pipe, which is why if the milk does not reach the stomach and is not digested, the child vomits it out. If the problem continues you should consult your AWW! ","क्या [child name] कभी-कभी स्तनपान कराने के बाद दूध को उल्टी कर देता है? यह महत्वपूर्ण है कि हर बार जब आप अपने बच्चे को स्तनपान कराते हैं, तो आप उन्हें ले और उनकी पीठ पर हल्के से थपथपाकर उन्हें डकार दिलवाएं। बच्चे का शरीर छोटा होता है और इसलिए पेट और भोजन नली के बीच बहुत कम अंतर होता है, यही वजह है कि अगर दूध पेट में नहीं पहुंचता है और पचता नहीं है, तो बच्चे को उल्टी हो जाती है। यदि समस्या बनी रहती है तो आपको अपने आंगनवाड़ी कार्यकर्ता से परामर्श करना चाहिए!",,"क्या [child name] कभी-कभी स्तनपान कराने के बाद दूध को उल्टी कर देती  है? यह महत्वपूर्ण है कि हर बार जब आप अपने बच्चे को स्तनपान कराते हैं, तो आप उन्हें ले और उनकी पीठ पर हल्के से थपथपाकर उन्हें डकार दिलवाएं। बच्चे का शरीर छोटा होता है और इसलिए पेट और भोजन नली के बीच बहुत कम अंतर होता है, यही वजह है कि अगर दूध पेट में नहीं पहुंचता है और पचता नहीं है, तो बच्चे को उल्टी हो जाती है। यदि समस्या बनी रहती है तो आपको अपने आंगनवाड़ी कार्यकर्ता से परामर्श करना चाहिए!"
1_3_9_ques,,yes,Pease tell me what question do you have on breastfeeding?,आपके पास स्तनपान से सम्बंधित क्या प्रश्न है कृपया मुझे बताएं? ,,
1_4_awwmenu,,,"Your AWW plays an important role in maintaining and improving the nutrition status of your child. Please type the number of the topic you wish to speak about. 
1) Services your AWW can provide you
2) The last time you’re AWW visited you
3) Services received from AWC
4) Periodic growth monitoring 
5) Topic you want to discuss with the AWW","आपका आंगनवाड़ी कार्यकर्ता आपके बच्चे के पोषण की स्थिति को बनाए रखने और बेहतर बनाने में महत्वपूर्ण भूमिका निभाती है। हम इस बारे में बात कर सकते हैं:
1) आपकी आंगनवाड़ी कार्यकर्ता आपको क्या क्या सेवाएं प्रदान कर सकती हैं 
2) आखिरी बार कब आप आंगनवाड़ी कार्यकर्ता आपका दौरा किया
3) आंगनवाड़ी केंद्रे  से प्राप्त सेवाएं
4) आवधिक वृद्धि की निगरानी
5) आप आंगनवाड़ी कार्यकर्ता के साथ किन विषय में चर्चा करना चाहते हैं",,
1_4_1_awwservices,,,"Some of the services your AWW can provide you with are as follows:
- Nutrition and health education
- Non- Formal Pre School Education (NEPSE)
- Supplementary Nutrition
- Growth monitoring and promotion
- Family welfare services
She also coordinates in arranging immunization camps and health check up camps. Her  functions also include community survey and enlisting beneficiaries, primary health care and first aid, referral services to severely malnourished, sick and at risk children, enlisting community support for Anganwadi functions, organizing women’s groups and Mahila Mandals, school enrolment of children and maintenance of records and registers.
","आपके आंगनवाड़ी कार्यकर्ता द्वारा प्रदान की जा सकने वाली कुछ सेवाएं इस प्रकार हैं:
- पोषण और स्वास्थ्य शिक्षा
- गैर-औपचारिक प्री स्कूल शिक्षा (NEPSE)
- ऊपरी पोषण
- वृद्धि निगरानी और उसमे सुधार करने के तरीके 
- परिवार कल्याण सेवाएं
वह टीकाकरण शिविरों और स्वास्थ्य जांच शिविरों की व्यवस्था करने में भी सहयोग करती है। उनके कार्यों में सामुदायिक सर्वेक्षण और लाभार्थियों को शामिल करना, प्राथमिक स्वास्थ्य देखभाल और प्राथमिक चिकित्सा, गंभीर रूप से कुपोषित, बीमार और जोखिम वाले बच्चों को रेफरल सेवाएं (जांच के लिए भेजना), आंगनवाड़ी कार्यों के लिए सामुदायिक सहायता की व्यवस्था करना, महिलाओं के समूहों और महिला मंडलों का आयोजन, बच्चों का स्कूल में नामांकन कराना और रिकॉर्ड और रजिस्टर का रखरखाव करना शामिल हैं। ",,
1_4_2_awwvisit,,,"When was the last time the AWW visited you in your home? Please type the number of the option that you want to select.   
1.Yesterday
2.In the last week 
3. In the last month 
4. In the last 3 months
5. Never 
","आखिरी बार कब आंगनवाड़ी कार्यकर्ता ने आपके घर में आपका दौरा किया था?
1. बिता कल
2. पिछले सप्ताह में
3. पिछले महीने में
4. पिछले 3 महीनों में
5. कभी नहीं",,
1_4_2_123_time,,,"How long did the AWW spend with you in your home? Please type the number of the option that you want to select.   
1)Less than 15 mins
2)15 mins to an hour
3)More than 1 hour
","आपके घर में आंगनवाड़ी कार्यकर्ता ने आपके साथ कितना समय बिताया?
1) 15 मिनट से कम
2) एक घंटे से 15 मिनट के बीच में 
3) 1 घंटे से अधिक",,
1_4_2_45_ty,,,Thank you for telling me!,मुझे बताने के लिए धन्यवाद!,,
1_4_2_123_time_sat,,,Were you satisfied with the home-visit you received? Type 1 for Yes and 2 for No. ,क्या आप गृह भेट से संतुष्ट थे? हां के लिए 1 और ना के लिए 2 नंबर दबाएं।,,
1_4_2_123_time_sat_yes,,,Great! Can you tell me what you liked about the last home-visit you received?,बहुत अच्छा ! क्या आप मुझे बता सकते हैं कि आपको पिछली गृह भेट के बारे में क्या पसंद आया?,,
1_4_2_123_time_sat_no,,,"Thanks for letting me know! Can you tell me what can be improved about the last home-visit you received?
",मुझे बताने के लिए धन्यवाद! क्या आप मुझे बता सकते हैं कि आपके द्वारा प्राप्त की गई पिछली गृह भेट के बारे में क्या सुधार किया जा सकता है?,,
1_4_2_123_time_sat_topic,,,"Thank you! Which topic did the AWW chat with you about? Please write the number in front of all topics from below that she discussed with you.
1. Birth preparedness
2. Mother’s diet
3. Breastfeeding
4. Complementary feeding
5. Hygiene & Sanitation
6. Family Planning
7. Other
","धन्यवाद! किस विषय पर आंगनवाड़ी कार्यकर्ता ने आपके साथ बातचीत की? कृपया नीचे से सभी विषयों के सामने वह संख्या लिखें जिसके बारे में उसने आपसे चर्चा की।
1. जन्म की तैयारी
2. माँ का आहार
3. स्तनपान
4. ऊपरी भोजन
5. स्वच्छता और सफाई 
6. परिवार नियोजन
7. अन्य",,
1_4_3_awwservicesreceived,,,"Let’s talk about the services you have received from your AWW. 
Have you/your child received supplementary nutrition (including THR and cooked meals) from the AWC in the past year? Type 1 for Yes and 2 for No. ","चलिए आपकी आंगनवाड़ी कार्यकर्त्ता से प्राप्त सेवाओं के बारे में बात करें।क्या आपके बच्चे को पिछले वर्ष में आंगनवाड़ी केंद्र से ऊपरी पोषण (THR और पका हुआ भोजन सहित) प्राप्त हुआ है?
1) हाँ
2) नहीं",,
1_4_3_sn_n,,,Thank you for telling!,बताने के लिए धंयवाद!,,
1_4_3_sn_sat,,,"Were you satisfied with the services you received for supplementary nutrition? Type 1 for Yes and 2 for No. 
","क्या आप ऊपरी पोषण के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",,
1_4_3_sn_sat_y,,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,,
1_4_3_sn_sat_n,,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",,
1_4_3_imm,,,Have you/your child received immunization services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या आपके बच्चे को  पिछले एक साल में आंगनवाड़ी केंद्र से टीकाकरण सेवाएं प्राप्त हुई  हैं?
1) हाँ
2) नहीं",,
1_4_3_imm_n,,,Thank you for telling!,बताने के लिए धंयवाद!,,
1_4_3_imm_sat,,,Were you satisfied with the services you received for immunization? Type 1 for Yes and 2 for No. ,"क्या आप  टीकाकरण  के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",,
1_4_3_imm_sat_y,,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,,
1_4_3_imm_sat_n,,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",,
1_4_3_pedu,,,Have you/your child received pre-school education services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या आपको / आपके बच्चे को  पिछले एक साल में आंगनवाड़ी केंद्र से स्कूल जाने से पूर्व सिक्षा की सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं",,
1_4_3_pedu_n,,,Thank you for telling!,बताने के लिए धंयवाद!,,
1_4_3_pedu_sat,,,"Were you satisfied with the services you received for pre-school education?
Type 1 for Yes and 2 for No. ","क्या आप  स्कूल जाने से पूर्व सिक्षा  के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",,
